Date,Latency
20070101,10;20;30
20070102,10;20;30
20070103,10;20;30
20070104,10;20;30
20070105,10;20;30
20070106,10;20;30
20070107,10;20;30
20070108,10;20;30
20070109,10;20;30
20070110,10;20;30
20070111,10;20;30
20070112,10;20;30
20070113,10;20;30
20070114,10;20;30
20070115,10;20;30
20070116,10;20;30
20070117,10;20;30
20070118,10;20;30
20070119,10;25;30
20070120,10;25;30
20070121,10;25;30
20070122,10;25;30
20070123,10;25;30
20070124,10;25;30
20070125,10;25;30
20070126,10;25;30
20070127,10;25;30
20070128,10;25;30
20070129,10;25;30
20070130,10;25;30
20070131,20;25;30
20070201,20;25;30
20070202,20;25;30
20070203,20;25;30
20070204,20;25;30
20070205,20;25;30
20070206,20;25;30
20070207,20;25;30
20070208,20;25;30
20070209,20;25;30
20070210,20;25;30
20070211,20;25;30
20070212,20;25;40
20070213,20;25;40
20070214,20;25;40
20070215,20;25;40
20070216,20;25;40
20070217,20;25;40
20070218,20;25;40
20070219,20;25;40
20070220,20;25;40
20070221,20;25;40
20070222,20;25;40
20070223,20;25;40
20070224,20;25;40
20070225,20;25;40
20070226,20;25;40
20070227,20;25;40
20070228,20;25;40
20070301,20;25;40
20070302,20;25;40
20070303,20;25;40
20070304,20;25;40
20070305,20;25;40
20070306,20;25;40
20070307,20;25;40
20070308,20;25;40
20070309,20;25;40
20070310,20;25;40
20070311,20;25;40
20070312,20;25;40
20070313,20;25;40
20070314,20;35;40
20070315,20;35;40
20070316,20;35;40
20070317,20;35;40
20070318,20;35;40
20070319,20;35;40
20070320,20;35;40
20070321,20;35;40
20070322,30;35;40
20070323,30;35;40
20070324,30;35;40
20070325,30;35;40
20070326,30;35;40
20070327,30;35;40
20070328,30;35;40
20070329,30;35;40
20070330,30;35;40
20070331,30;35;40
20070401,30;35;40
20070402,30;35;40
20070403,30;35;40
20070404,30;35;40
20070405,30;35;40
20070406,30;35;40
20070407,30;35;40
20070408,30;35;40
20070409,30;35;40
20070410,30;35;40
20070411,30;35;40
20070412,30;35;40
20070413,30;35;40
20070414,30;35;40
20070415,30;35;40
20070416,30;35;40
20070417,30;35;40
20070418,30;35;40
20070419,30;35;40
20070420,30;35;40
20070421,30;35;40
20070422,30;35;40
20070423,30;35;40
20070424,30;35;40
20070425,30;35;40
20070426,30;35;40
20070427,30;35;40
20070428,30;35;40
20070429,30;35;40
20070430,30;35;40
20070501,30;35;40
20070502,30;35;40
20070503,30;35;40
20070504,30;35;40
20070505,30;35;40
20070506,30;35;40
20070507,30;35;40
20070508,30;35;40
20070509,30;35;40
20070510,30;35;40
20070511,30;35;40
20070512,30;35;40
20070513,30;35;40
20070514,30;35;40
20070515,30;35;40
20070516,30;35;40
20070517,30;35;40
20070518,30;35;40
20070519,30;35;40
20070520,30;35;40
20070521,30;35;40
20070522,30;35;40
20070523,30;35;40
20070524,30;35;40
20070525,30;35;40
20070526,30;35;40
20070527,30;35;40
20070528,30;35;40
20070529,30;35;40
20070530,30;35;40
20070531,30;35;40
20070601,30;35;50
20070602,30;35;50
20070603,30;35;50
20070604,30;35;50
20070605,30;35;50
20070606,30;35;50
20070607,30;35;50
20070608,30;35;50
20070609,30;35;50
20070610,30;35;50
20070611,30;35;50
20070612,30;35;50
20070613,30;35;50
20070614,30;35;50
20070615,30;35;50
